id,name,type,sex,origin,genre,language,year,tracks
ClintBa,Clint Ballard,1,2,2,NA,NA,NA,NA
CoyP,Coy Poe,1,2,2,NA,NA,NA,NA
Craz,Crazy J,1,NA,NA,NA,NA,NA,NA
Cyri,Cyril Neville,1,2,2,NA,NA,NA,NA
DanRe,Dan Reynolds,1,2,2,NA,NA,NA,NA
DaniaMaBi,Dania Maria Birks,1,1,2,NA,NA,NA,NA
DanielPl,Daniel Platzman,1,2,2,NA,NA,NA,NA
DannyJo,Danny Jones,1,2,1,NA,NA,NA,NA
DarylBr,Daryl Braithwaite,1,2,8,NA,NA,NA,NA
DavidBo,David Bowie,1,2,1,NA,NA,NA,NA
DavidBr,David Brook,1,NA,NA,NA,NA,NA,NA
DavidGi,David Gilmour,1,2,1,NA,NA,NA,NA
DavidGu,David Guetta,1,2,5,NA,NA,NA,NA
DennisLu,Dennis Lussier,1,2,2,NA,NA,NA,NA
Deta,Detail,1,2,2,NA,NA,NA,NA
Dino,Dino Zisis,1,2,NA,NA,NA,NA,NA
DJFa,DJ Falcon,1,2,5,NA,NA,NA,NA
DJKh,DJ Khalil,1,2,2,NA,NA,NA,NA
DJLo,DJ Locksmith,1,2,1,NA,NA,NA,NA
DJSn,DJ Snake,1,2,5,NA,NA,NA,NA
DJWh,DJ White Shadow,1,2,2,NA,NA,NA,NA
DougEF,Doug E. Fresh,1,2,2,NA,NA,NA,NA
DougiePo,Dougie Poynter,1,2,1,NA,NA,NA,NA
DrLu,Dr. Luke,1,2,2,NA,NA,NA,NA
Drak,Drake,1,2,7,NA,NA,NA,NA
DreM,Dre Moon,1,2,2,NA,NA,NA,NA
DVLP,DVLP,1,2,2,NA,NA,NA,NA
EdDr,Ed Drewett,1,2,1,NA,NA,NA,NA
EdSh,Ed Sheeran,1,2,1,NA,NA,NA,NA
EgWh,Eg White,1,2,1,NA,NA,NA,NA
ElvinBi,Elvin Bishop,1,2,2,NA,NA,NA,NA
ElvinSm,Elvin Smith,1,2,1,NA,NA,NA,NA
EmeliSa,Emeli Sandé,1,1,1,NA,NA,NA,NA
EmileHa,Emile Haynie,1,2,2,NA,NA,NA,NA
Emin,Eminem,1,2,2,NA,NA,NA,NA
Erez,Erez Eisen,1,2,10,NA,NA,NA,NA
EricCa,Eric Carmen,1,2,2,NA,NA,NA,NA
EricSt,Eric Stewart,1,2,1,NA,NA,NA,NA
ErikAl,Erik Alcock,1,2,7,NA,NA,NA,NA
Fonc,Fonce Mizell,1,2,2,NA,NA,NA,NA
Four,Four by One Direction,2,NA,NA,1,1,2014,12
FoyV,Foy Vance,1,2,1,NA,NA,NA,NA
FrankOc,Frank Ocean,1,2,2,NA,NA,NA,NA
Fras,Fraser T. Smith,1,2,1,NA,NA,NA,NA
FreddiePe,Freddie Perren,1,2,2,NA,NA,NA,NA
Freq,Frequency,1,2,2,NA,NA,NA,NA
Frod,Frode Fjellheim,1,2,10,NA,NA,NA,NA
Froz,Frozen (Original Motion Picture Soundtrack) by Various Artists,2,NA,NA,12,1,2014,32
Garl,Garland Sebastian Mosley,1,2,2,NA,NA,NA,NA
GarthPo,Garth Porter,1,2,10,NA,NA,NA,NA
GaryLi,Gary Lightbody,1,2,1,NA,NA,NA,NA
GeorgePo,George Porter Jr,1,2,2,NA,NA,NA,NA
Ghos,Ghost Stories by Coldplay,2,NA,NA,1,1,2014,9
GianPi,Gian Piero Reverberi,1,2,6,NA,NA,NA,NA
GiorgioMo,Giorgio Moroder,1,2,6,NA,NA,NA,NA
GiorgioTu,Giorgio Tuinfort,1,2,10,NA,NA,NA,NA
GrahamGo,Graham Gouldman,1,2,1,NA,NA,NA,NA
GregKu,Greg Kurstin,1,2,2,NA,NA,NA,NA
GregWe,Greg Wells,1,2,7,NA,NA,NA,NA
Guar,"Guardians of the Galaxy: Awesome Mix, Vol. 1 by Various Artists",2,NA,NA,12,1,2014,12
GuyBe,Guy Berryman,1,2,1,NA,NA,NA,NA
GuyMa,Guy-Manuel de Homem-Christo,1,2,5,NA,NA,NA,NA
GwenGo,Gwen Gordy Fuqua,1,1,2,NA,NA,NA,NA
HarryRu,Harry Ruby,1,2,2,NA,NA,NA,NA
HarrySt,Harry Styles,1,2,1,NA,NA,NA,NA
Haze,HazeBanga,1,2,2,NA,NA,NA,NA
HitB,Hit-Boy,1,2,2,NA,NA,NA,NA
Imog,Imogen Heap,1,1,1,NA,NA,NA,NA
InTh,In The Lonely Hour by Sam Smith,2,NA,NA,7,1,2014,10
JRoc,J-Roc,1,2,2,NA,NA,NA,NA
JackAn,Jack Antonoff,1,2,2,NA,NA,NA,NA
Jacknife,Jacknife Lee,1,2,10,NA,NA,NA,NA
JamesFa,James Fauntleroy,1,2,2,NA,NA,NA,NA
JamieSc,Jamie Scott,1,2,1,NA,NA,NA,NA
JannAr,Jann Arden,1,1,7,NA,NA,NA,NA
JAYZ,JAY-Z,1,2,2,NA,NA,NA,NA
JeffBh,Jeff Bhasker,1,2,2,NA,NA,NA,NA
JeffLy,Jeff Lynne,1,2,1,NA,NA,NA,NA
JimVa,Jim Vallance,1,2,7,NA,NA,NA,NA
JimmieGr,Jimmie Grier,1,2,2,NA,NA,NA,NA
JimmyNa,Jimmy Napes,1,2,1,NA,NA,NA,NA
JimmyVa,Jimmy Van Heusen,1,2,2,NA,NA,NA,NA
JoanJe,Joan Jett,1,1,2,NA,NA,NA,NA
JoeWa,Joe Walsh,1,2,2,NA,NA,NA,NA
JoelLi,Joel Little,1,2,10,NA,NA,NA,NA
JoeyCh,Joey Chavez,1,2,2,NA,NA,NA,NA
JohanCa,Johan Carlsson,1,2,9,NA,NA,NA,NA
JohnMa,John Mayer,1,2,2,NA,NA,NA,NA
JohnRy,John Ryan,1,2,2,NA,NA,NA,NA
JohnWi,John Wilson,1,2,2,NA,NA,NA,NA
JohnnyMc,Johnny McDaid,1,2,1,NA,NA,NA,NA
JohnnyRi,Johnny Richards,1,2,2,NA,NA,NA,NA
JonBe,Jon Bellion,1,2,2,NA,NA,NA,NA
JonHo,Jon Hopkins,1,2,1,NA,NA,NA,NA
Jonatha,Jonatha Brooke,1,1,2,NA,NA,NA,NA
JonnyBu,Jonny Buckland,1,2,1,NA,NA,NA,NA
JordanUl,Jordan Ullman,1,2,7,NA,NA,NA,NA
JosefMy,Josef Myrow,1,2,10,NA,NA,NA,NA
JosephMo,Joseph Modeliste,1,2,2,NA,NA,NA,NA
JoshMo,Josh Mosser,1,2,NA,NA,NA,NA,NA
Juic,Juicy J,1,2,2,NA,NA,NA,NA
JulianBu,Julian Bunetta,1,2,2,NA,NA,NA,NA
JulianCa,Julian Casablancas,1,2,2,NA,NA,NA,NA
JulienAr,Julien Arias,1,2,5,NA,NA,NA,NA
JustinTi,Justin Timberlake,1,2,2,NA,NA,NA,NA
KatyPe,Katy Perry,1,1,2,NA,NA,NA,NA
KayGe,Kay Gee,1,2,2,NA,NA,NA,NA
Kend,Kendrick Lamar,1,2,2,NA,NA,NA,NA
Kesi,Kesi Dryden,1,2,1,NA,NA,NA,NA
KeYW,KeY Wane,1,2,2,NA,NA,NA,NA
KimFo,Kim Fowley,1,2,2,NA,NA,NA,NA
Klas,Klas Åhlund,1,2,9,NA,NA,NA,NA
KristenAn,Kristen Anderson-Lopez,1,1,2,NA,NA,NA,NA
LadyGa,Lady Gaga,1,1,2,NA,NA,NA,NA
LarryMi,Larry Mizell,1,2,2,NA,NA,NA,NA
LauraGi,Laura Giordano,1,1,NA,NA,NA,NA,NA
LeoNo,Leo Nocentelli,1,2,2,NA,NA,NA,NA
LiamPa,Liam Payne,1,2,1,NA,NA,NA,NA
LizR,Liz Rodrigues,1,1,7,NA,NA,NA,NA
Loll,Lolly Vegas,1,2,2,NA,NA,NA,NA
Lord,Lorde,1,1,10,NA,NA,NA,NA
LouisTo,Louis Tomlinson,1,2,1,NA,NA,NA,NA
Luis,Luis Resto,1,2,2,NA,NA,NA,NA
Lyri,Lyrica Anderson,1,1,2,NA,NA,NA,NA
MPha,M-Phazes,1,2,8,NA,NA,NA,NA
Mack,Mack Gordon,1,2,2,NA,NA,NA,NA
Made,Madeon,1,2,5,NA,NA,NA,NA
Magn,Magnus Lidehäll,1,2,9,NA,NA,NA,NA
Maki,Maki Athanasiou,1,2,2,NA,NA,NA,NA
MalcomYo,Malcolm Young,1,2,1,NA,NA,NA,NA
MarkJa,Mark James,1,2,2,NA,NA,NA,NA
MarkRo,Mark Ronson,1,2,2,NA,NA,NA,NA
MattPr,Matt Prime,1,2,1,NA,NA,NA,NA
MatthewDe,Matthew DelGiorno,1,2,NA,NA,NA,NA,NA
MaxMa,Max Martin,1,2,9,NA,NA,NA,NA
MCJB,MC JB,1,NA,NA,NA,NA,NA,NA
MCA,MCA,1,2,2,NA,NA,NA,NA
MichaelBu,Michael Bublé,1,2,7,NA,NA,NA,NA
Midn,Midnight Memories by One Direction,2,NA,NA,1,1,2013,18
Migu,Miguel,1,2,2,NA,NA,NA,NA
MikeAi,Mike Aiello,1,2,NA,NA,NA,NA,NA
MikeSt,Mike Strange,1,2,2,NA,NA,NA,NA
Mikk,Mikkel Storleer Eriksen,1,2,10,NA,NA,NA,NA
Mitc,Mitchum Chin,1,2,NA,NA,NA,NA,NA
Moze,Mozella,1,1,2,NA,NA,NA,NA
NateRu,Nate Ruess,1,2,2,NA,NA,NA,NA
NiallHo,Niall Horan,1,2,1,NA,NA,NA,NA
NickMa,Nick Mason,1,2,1,NA,NA,NA,NA
NickMo,Nick Monson,1,2,2,NA,NA,NA,NA
NickolasAs,Nickolas Ashford,1,2,2,NA,NA,NA,NA
NicolasMe,Nicolas Mercier,1,2,5,NA,NA,NA,NA
Nigh,Night Visions by Imagina Dragons,2,NA,NA,5,1,2013,11
NileRo,Nile Rodgers,1,2,2,NA,NA,NA,NA
Norm,Norman Greenbaum,1,2,2,NA,NA,NA,NA
OGRo,OG Rocker,1,NA,NA,NA,NA,NA,NA
OliverFr,Oliver Frank,1,NA,NA,NA,NA,NA,NA
Omen,Omen (Producer),1,2,2,NA,NA,NA,NA
PaulEp,Paul Epworth,1,2,1,NA,NA,NA,NA
PaulJa,"Paul Jackson, Jr.",1,2,2,NA,NA,NA,NA
PaulWi,Paul Williams,1,2,2,NA,NA,NA,NA
Phar,Pharrell Williams,1,2,2,NA,NA,NA,NA
PhilipLa,Philip Lawrence,1,2,2,NA,NA,NA,NA
Phre,Phredley Brown,1,2,2,NA,NA,NA,NA
Pier,Piers Agget,1,2,1,NA,NA,NA,NA
Pinky,Pinky Tomlin,1,2,2,NA,NA,NA,NA
Polin,POLINA,1,1,10,NA,NA,NA,NA
Polly,Polly Samson,1,1,1,NA,NA,NA,NA
Pris,Prism by Katy Perry,2,NA,NA,1,1,2013,16
Pure,Pure Heroine by Lorde,2,NA,NA,1,1,2014,10
RKel,R. Kelly,1,2,2,NA,NA,NA,NA
Rand,Random Access Memories by Daft Punk,2,NA,NA,6,1,2013,14
RandyNe,Randy Newman,1,2,2,NA,NA,NA,NA
Rans,Ransom,1,2,2,NA,NA,NA,NA
RedO,RedOne,1,2,10,NA,NA,NA,NA
RayR,Rey Reel,1,2,2,NA,NA,NA,NA
RichardWr,Richard Wright,1,2,1,NA,NA,NA,NA
RickRu,Rick Rubin,1,2,2,NA,NA,NA,NA
Riha,Rihanna,1,1,10,NA,NA,NA,NA
RobKn,Rob Knox,1,2,2,NA,NA,NA,NA
RobertLo,Robert Lopez,1,2,2,NA,NA,NA,NA
RobinGi,Robin Gibb,1,2,1,NA,NA,NA,NA
Rock,Rock or Bust by AC/DC,2,NA,NA,4,1,2014,11
RodAr,Rod Argent,1,2,1,NA,NA,NA,NA
Roqu,Roquel “Billy” Davis,1,2,2,NA,NA,NA,NA
Rupe,Rupert Holmes,1,2,2,NA,NA,NA,NA
RuthAn,RuthAnne,1,1,10,NA,NA,NA,NA
RyanTe,Ryan Tedder,1,2,2,NA,NA,NA,NA
SPag,S. Pages Mehner,1,NA,NA,NA,NA,NA,NA
S1,S1,1,2,2,NA,NA,NA,NA
SamSm,Sam Smith,1,3,1,NA,NA,NA,NA
Samm,Sammy Cahn,1,2,2,NA,NA,NA,NA
SarahHu,Sarah Hudson,1,1,2,NA,NA,NA,NA
SarahJa,Sarah Jaffe,1,1,2,NA,NA,NA,NA
Sava,Savan Kotecha,1,2,2,NA,NA,NA,NA
Scho,Schoolly D,1,2,2,NA,NA,NA,NA
ScottyWi,Scotty Wiseman,1,2,2,NA,NA,NA,NA
Shel,Shellback,1,2,9,NA,NA,NA,NA
Sia,Sia,1,1,8,NA,NA,NA,NA
SimonAl,Simon Aldred,1,2,1,NA,NA,NA,NA
Skyl,Skylar Grey,1,1,2,NA,NA,NA,NA
Slic,Slick Rick,1,2,2,NA,NA,NA,NA
Smok,Smokey Robinson,1,2,2,NA,NA,NA,NA
Sool,Sool Got Hits,1,2,NA,NA,NA,NA,NA
StanVi,Stan Vincent,1,2,2,NA,NA,NA,NA
StephenHa,Stephen Hacker,1,2,NA,NA,NA,NA,NA
SteveGu,Steve Guess,1,2,NA,NA,NA,NA,NA
StevenSa,Steven Sater,1,2,2,NA,NA,NA,NA
STRE,STREETRUNNER,1,2,2,NA,NA,NA,NA
SunR,Sun Ra,1,2,2,NA,NA,NA,NA
Supa,Supa Dups,1,2,2,NA,NA,NA,NA
TI,T.I.,1,2,2,NA,NA,NA,NA
Travish,Tavish Graham,1,NA,NA,NA,NA,NA,NA
Tayl,Taylor Swift,1,1,2,NA,NA,NA,NA
Tcha,Tchami,1,2,5,NA,NA,NA,NA
Tedd,Teddy Geiger,1,1,2,NA,NA,NA,NA
Terr,Terrance Stubbs,1,2,2,NA,NA,NA,NA
The2,The 20/20 Experience by Justin Timberlake,2,NA,NA,1,1,2013,12
TheE,The Endless River by Pink Floyd,2,NA,NA,4,1,2014,18
TheM,The Marshall Mathers LP2 by Eminem,2,NA,NA,2,1,2013,16
TheD,The-Dream,1,2,2,NA,NA,NA,NA
Thom,Thomas Bangalter,1,2,5,NA,NA,NA,NA
Timb,Timbaland,1,2,2,NA,NA,NA,NA
ToBe,To Be Loved by Michael Bublé,2,NA,NA,1,1,2013,14
TobySm,Toby Smith,1,2,1,NA,NA,NA,NA
Pand,Todd Edwards,1,2,2,NA,NA,NA,NA
ToddEd,Todd Edwards,1,2,2,NA,NA,NA,NA
TomFl,Tom Fletcher,1,2,1,NA,NA,NA,NA
TomJa,Tom Jackson,1,2,7,NA,NA,NA,NA
TomPe,Tom Petty,1,2,2,NA,NA,NA,NA
TonyMi,Tony Mitchell,1,2,8,NA,NA,NA,NA
TooSh,TooShort,1,2,2,NA,NA,NA,NA
TorE,Tor Erik Hermansen,1,2,10,NA,NA,NA,NA
Tour,Tourist,1,2,1,NA,NA,NA,NA
Trea,Treach,1,2,2,NA,NA,NA,NA
Twis,Twista,1,2,2,NA,NA,NA,NA
TwoI,Two Inch Punch,1,2,1,NA,NA,NA,NA
Unor,Unorthodox Jukebox by Bruno Mars,2,NA,NA,1,1,2013,10
ValerieSi,Valerie Simpson,1,1,2,NA,NA,NA,NA
VinRo,Vin Rock,1,2,2,NA,NA,NA,NA
VincentPo,Vincent Pontare,1,2,9,NA,NA,NA,NA
Vinn,Vinny Venditto,1,2,2,NA,NA,NA,NA
WallyBr,Wally Bryson,1,2,2,NA,NA,NA,NA
WalterMu,Walter Murphy,1,2,2,NA,NA,NA,NA
WayneHe,Wayne Hector,1,2,1,NA,NA,NA,NA
WayneSe,Wayne Sermon,1,2,2,NA,NA,NA,NA
WillCh,Will Champion,1,2,1,NA,NA,NA,NA
william,will i am,1,2,2,NA,NA,NA,NA
Wolf,Wolfgang Düren,1,2,3,NA,NA,NA,NA
x,x by Ed Sheeran,2,NA,NA,1,1,2014,12
ZAYN,ZAYN,1,2,1,NA,NA,NA,NA
Zedd,Zedd,1,2,10,NA,NA,NA,NA
