id,name,type,sex,origin,genre,language,year,second year,tracks
Beko,Bēkon,1,2,2,NA,NA,NA,NA,NA
BePa,Benj Pasek,1,2,2,NA,NA,NA,NA,NA
BeTr,Beautiful Trauma,2,NA,NA,1,1,2017,2018,13
Beyo,Beyoncé,1,1,2,NA,NA,NA,NA,NA
BiCu,Bill Curtis,1,2,2,NA,NA,NA,NA,NA
BiMa,Billy Mann,1,2,2,NA,NA,NA,NA,NA
BjUl,Björn Ulvaeus,1,2,9,NA,NA,NA,NA,NA
Bobc,Bobcat,1,2,2,NA,NA,NA,NA,NA
BoCh,Bobby Chung,1,2,10,NA,NA,NA,NA,NA
Boid,Boi-1da,1,2,7,NA,NA,NA,NA,NA
BoLa,Boris Lanneau,1,2,5,NA,NA,NA,NA,NA
Bono,Bono,1,2,10,NA,NA,NA,NA,NA
BrBr,Brody Brown,1,2,2,NA,NA,NA,NA,NA
BrGr,Brendan Grieve,1,2,1,NA,NA,NA,NA,NA
BrKo,Brock Korsan,1,2,2,NA,NA,NA,NA,NA
BrMa,Bruno Mars,1,2,10,NA,NA,NA,NA,NA
busb,busbee,1,2,2,NA,NA,NA,NA,NA
CaFi,Canei Finch,1,2,2,NA,NA,NA,NA,NA
CAGM,Carl “Groove” Martin,1,2,2,NA,NA,NA,NA,NA
Cam,Cam,1,1,2,NA,NA,NA,NA,NA
Card,Cardo,1,2,2,NA,NA,NA,NA,NA
ChBr,Charles Bradley,1,2,2,NA,NA,NA,NA,NA
ChHa,Chester Hansen,1,2,7,NA,NA,NA,NA,NA
ChIn,Chin Injeti,1,2,10,NA,NA,NA,NA,NA
ChJP,Charlie J. Perry,1,2,1,NA,NA,NA,NA,NA
ChMe,Christian Medice,1,2,2,NA,NA,NA,NA,NA
ClSm,Claydes Smith,1,2,2,NA,NA,NA,NA,NA
CoMa,Conor Maynard,1,2,1,NA,NA,NA,NA,NA
D.M.C.,D.M.C.,1,2,2,NA,NA,NA,NA,NA
DaBr,Dan Bryer,1,2,1,NA,NA,NA,NA,NA
DaBy,David Byron,1,2,1,NA,NA,NA,NA,NA
DaGu,Dave Guy,1,2,2,NA,NA,NA,NA,NA
DaHa,Danielle Haim,1,1,2,NA,NA,NA,NA,NA
DAMN,DAMN.,2,NA,NA,2,1,2017,NA,14
DaPe,Darryl Pearson,1,2,2,NA,NA,NA,NA,NA
DaPr,Dan Priddy,1,2,1,NA,NA,NA,NA,NA
DaTo,Dado Topić,1,2,10,NA,NA,NA,NA,NA
DaWa,Dale Warren,1,2,2,NA,NA,NA,NA,NA
DD.T.T,Dennis “D.T.” Thomas,1,2,2,NA,NA,NA,NA,NA
DDre,Dr. Dre,1,2,2,NA,NA,NA,NA,NA
DDRo,Don D. Robey,1,2,2,NA,NA,NA,NA,NA
dEnA,dEnAun,1,2,2,NA,NA,NA,NA,NA
divi,÷,2,NA,NA,1,1,2017,2018,12
DJBu,DJ Burton,1,2,2,NA,NA,NA,NA,NA
DJDa,DJ Dahi,1,2,2,NA,NA,NA,NA,NA
DJKh,DJ Khalil,1,2,2,NA,NA,NA,NA,NA
DJSw,DJ Swivel,1,2,7,NA,NA,NA,NA,NA
DMcK,Damian McKee,1,2,1,NA,NA,NA,NA,NA
DOCS,DOCSKIM,1,2,10,NA,NA,NA,NA,NA
DoJo,Dominic Jordan,1,2,2,NA,NA,NA,NA,NA
DORi,Dolores O’Riordan,1,1,10,NA,NA,NA,NA,NA
Dove,Doveman,1,2,2,NA,NA,NA,NA,NA
DwSi,Dwayne Simon,1,2,2,NA,NA,NA,NA,NA
DYSO,DYSON,1,1,1,NA,NA,NA,NA,NA
EaMu,Eamon Murray,1,2,1,NA,NA,NA,NA,NA
EaSh,Earl Shelton,1,2,2,NA,NA,NA,NA,NA
Edge,The Edge,1,2,10,NA,NA,NA,NA,NA
EdSh,Ed Sheeran,1,2,1,NA,NA,NA,NA,NA
EmHa,Emile Haynie,1,2,2,NA,NA,NA,NA,NA
Emin,Eminem,1,2,2,NA,NA,NA,NA,NA
ErAl,Erik Alcock,1,2,7,NA,NA,NA,NA,NA
ErBo,Erik Bodin,1,2,9,NA,NA,NA,NA,NA
ErMc,Eric McIntosh,1,2,2,NA,NA,NA,NA,NA
ErSe,Erick Sermon,1,2,2,NA,NA,NA,NA,NA
FoVa,Foy Vance,1,2,1,NA,NA,NA,NA,NA
FrBa,Fred Ball,1,2,10,NA,NA,NA,NA,NA
FrCo,Frederick Cox,1,2,1,NA,NA,NA,NA,NA
Freq,Frequency,1,2,2,NA,NA,NA,NA,NA
FrFa,Fred Fairbrass,1,2,1,NA,NA,NA,NA,NA
FrWa,Fredrik Wallin,1,2,9,NA,NA,NA,NA,NA
FrWr,FredWreck,1,2,10,NA,NA,NA,NA,NA
Futu,Future,1,2,2,NA,NA,NA,NA,NA
GaDe,Gaye Delorme,1,2,7,NA,NA,NA,NA,NA
GeBr,George Brown,1,2,2,NA,NA,NA,NA,NA
GeRe,Gene Redd,1,2,2,NA,NA,NA,NA,NA
GeSa,Geoffrey Sarubbi,1,2,2,NA,NA,NA,NA,NA
GeWi,George Williams,1,2,2,NA,NA,NA,NA,NA
GNBo,George Noah Booth,1,2,1,NA,NA,NA,NA,NA
GrKu,Greg Kurstin,1,2,2,NA,NA,NA,NA,NA
Hary,Harry Styles,1,2,1,NA,NA,NA,NA,NA
HaSt,Harry Styles A,2,NA,NA,1,1,2017,NA,10
HaWi,Håkan Wirenstrand,1,2,9,NA,NA,NA,NA,NA
Herv,Hervé,1,2,5,NA,NA,NA,NA,NA
HisN,Hiss Noise,1,2,10,NA,NA,NA,NA,NA
HoSt,Homer Steinweiss,1,2,2,NA,NA,NA,NA,NA
Huma,Human,2,NA,NA,7,1,2017,NA,12
IDaP,IllaDaProducer,1,2,2,NA,NA,NA,NA,NA
InWr,Ina Wroldsen,1,1,10,NA,NA,NA,NA,NA
JaAn,Jack Antonoff,1,2,2,NA,NA,NA,NA,NA
JaBl,James Blake,1,2,1,NA,NA,NA,NA,NA
JaBo,Janez Bončina,1,2,10,NA,NA,NA,NA,NA
JaFa,James Fauntleroy,1,2,2,NA,NA,NA,NA,NA
JaHa,Jamie Hartman,1,2,1,NA,NA,NA,NA,NA
JaHo,Jake Hooker,1,2,2,NA,NA,NA,NA,NA
JaJe,Jakob Jerlström,1,2,9,NA,NA,NA,NA,NA
JaSc,Jamie Scott,1,2,1,NA,NA,NA,NA,NA
JaSw,Jahaan Sweet,1,2,2,NA,NA,NA,NA,NA
JaTo,Jake Torrey,1,2,2,NA,NA,NA,NA,NA
JeAt,Jérôme Attal,1,2,5,NA,NA,NA,NA,NA
JeBh,Jeff Bhasker,1,2,2,NA,NA,NA,NA,NA
JeMa,Jean Matyka,1,2,2,NA,NA,NA,NA,NA
JeRe,Jessie Reyez,1,1,7,NA,NA,NA,NA,NA
JeRv,Jeremy Reeves,1,2,2,NA,NA,NA,NA,NA
JeWa,Jessie Ware,1,1,1,NA,NA,NA,NA,NA
jhop,j-hope,1,2,10,NA,NA,NA,NA,NA
JiGi,Jimmy Giannos,1,2,2,NA,NA,NA,NA,NA
JiNa,Jimmy Napes,1,2,1,NA,NA,NA,NA,NA
JINB,JINBO,1,2,10,NA,NA,NA,NA,NA
JiWa,Jim Walters,1,2,2,NA,NA,NA,NA,NA
JMcD,Johnny McDaid,1,2,1,NA,NA,NA,NA,NA
JoCo,Jonny Coffer,1,2,1,NA,NA,NA,NA,NA
JoFl,Johnny Flippin,1,2,2,NA,NA,NA,NA,NA
JoIn,Jon Ingoldsby,1,2,2,NA,NA,NA,NA,NA
JoLu,Joyner Lucas,1,2,2,NA,NA,NA,NA,NA
JoRy,John Ryan,1,2,2,NA,NA,NA,NA,NA
JoSc,Joe Scott,1,2,2,NA,NA,NA,NA,NA
JoYi,Jonathan Yip,1,2,2,NA,NA,NA,NA,NA
JRCo,John Richard Cornwall,1,2,8,NA,NA,NA,NA,NA
JuBl,Just Blaze,1,2,2,NA,NA,NA,NA,NA
JuBr,Julian Bunetta,1,2,2,NA,NA,NA,NA,NA
JuMi,Julia Michaels,1,1,2,NA,NA,NA,NA,NA
JuPa,Justin Paul,1,2,2,NA,NA,NA,NA,NA
JusV,Justin Vernon,1,2,2,NA,NA,NA,NA,NA
Juve,Juvenile,1,2,2,NA,NA,NA,NA,NA
KaLa,Katia Landreas,1,1,5,NA,NA,NA,NA,NA
Kami,Kamikaze,2,NA,NA,2,1,2018,NA,13
Kand,Kandi,1,1,2,NA,NA,NA,NA,NA
KASS,KASS,1,2,10,NA,NA,NA,NA,NA
KAYT,KAYTRANADA,1,2,10,NA,NA,NA,NA,NA
KeBr,Kevin Briggs,1,2,2,NA,NA,NA,NA,NA
KeGo,Kevin Gomringer,1,2,10,NA,NA,NA,NA,NA
KeHe,Ken Hensley,1,2,1,NA,NA,NA,NA,NA
KeLa,Kendrick Lamar,1,2,2,NA,NA,NA,NA,NA
KiGi,King Gizmo,1,2,2,NA,NA,NA,NA,NA
KiHa,Kid Harpoon,1,2,1,NA,NA,NA,NA,NA
KMag,24K Magic,2,NA,NA,7,1,2016,2017,9
Kook,Jung Kook,1,2,10,NA,NA,NA,NA,NA
LaSm,Larry Smith,1,2,2,NA,NA,NA,NA,NA
LeMi,Leon Michels,1,2,2,NA,NA,NA,NA,NA
LeWh,Leland Whitty,1,2,7,NA,NA,NA,NA,NA
LiBa,Liam Bailey,1,2,1,NA,NA,NA,NA,NA
LiGo,Lisa Gomamoto,1,1,10,NA,NA,NA,NA,NA
LiOw,Liza Owen,1,1,1,NA,NA,NA,NA,NA
LiRo,Liz Rodrigues,1,1,7,NA,NA,NA,NA,NA
LLCJ,LL Cool J,1,2,2,NA,NA,NA,NA,NA
LMJr,Larry Mullen Jr.,1,2,10,NA,NA,NA,NA,NA
Lone,Lonestarrmuzik,1,2,2,NA,NA,NA,NA,NA
loph,lophiile,1,2,2,NA,NA,NA,NA,NA
LuRa,Luther Rabb,1,2,2,NA,NA,NA,NA,NA
LuRe,Luis Resto,1,2,2,NA,NA,NA,NA,NA
LYSA,LOVE YOURSELF 結 'Answer',2,NA,NA,11,6,2018,NA,26
LYST,LOVE YOURSELF 轉 ‘Tear’,2,NA,NA,11,6,2018,NA,11
MaAc,Masta Ace,1,2,2,NA,NA,NA,NA,NA
MaAt,Maki Athanasiou,1,2,2,NA,NA,NA,NA,NA
MaCr,Mark Crew,1,2,1,NA,NA,NA,NA,NA
MaDi,Matt Dike,1,2,2,NA,NA,NA,NA,NA
MaFr,Mannie Fresh,1,2,2,NA,NA,NA,NA,NA
MaJa,Matthew Jacobson,1,2,2,NA,NA,NA,NA,NA
MaLa,Mattias Larsson,1,2,9,NA,NA,NA,NA,NA
Malo,Malory,1,2,10,NA,NA,NA,NA,NA
Marc,Gay,1,2,2,NA,NA,NA,NA,NA
MaRe,Mario Resto,1,2,10,NA,NA,NA,NA,NA
MaTA,Matthew Tavares,1,2,7,NA,NA,NA,NA,NA
MaTi,Matthew Tishler,1,2,7,NA,NA,NA,NA,NA
MaxM,Max Martin,1,2,9,NA,NA,NA,NA,NA
MeJF,Melanie Joy Fontana,1,1,2,NA,NA,NA,NA,NA
MiBu,Michael Burton,1,2,2,NA,NA,NA,NA,NA
MiHe,Mike Hector,1,2,2,NA,NA,NA,NA,NA
MiJe,Mick Jenkins,1,2,2,NA,NA,NA,NA,NA
MiNe,Mike Needle,1,2,1,NA,NA,NA,NA,NA
Mios,Miossec,1,2,5,NA,NA,NA,NA,NA
MiRo,Mitch Rowland,1,2,2,NA,NA,NA,NA,NA
MiSt,Mikkel Storleer,1,2,10,NA,NA,NA,NA,NA
MiSt,Mike Strange,1,2,2,NA,NA,NA,NA,NA
Mlay,Malay,1,2,2,NA,NA,NA,NA,NA
MLBr,Martin Luke Brown,1,2,1,NA,NA,NA,NA,NA
MMia,Mamma Mia! Here We Go Again (Original Motion Picture Soundtrack),2,NA,NA,12,1,2018,NA,18
MNEK,MNEK,1,2,1,NA,NA,NA,NA,NA
Mpcl,Mon pays c’est l’amour,2,NA,NA,10,4,2018,NA,11
MStB,Menahan Street Band,1,2,2,NA,NA,NA,NA,NA
MWMI,Mike WiLL Made-It,1,2,2,NA,NA,NA,NA,NA
MyWi,Myles William,1,2,2,NA,NA,NA,NA,NA
NaPa,Nai Palm,1,1,8,NA,NA,NA,NA,NA
NiDu,Niamh Dunne,1,2,10,NA,NA,NA,NA,NA
NiMi,Nicki Minaj,1,1,10,NA,NA,NA,NA,NA
NoAo,Norio Aono,1,2,10,NA,NA,NA,NA,NA
NoCo,Noah Conrad,1,2,2,NA,NA,NA,NA,NA
OnCu,OnCue,1,2,2,NA,NA,NA,NA,NA
OrGa,Orla Gartland,1,1,10,NA,NA,NA,NA,NA
OsHo,Oscar Holter,1,2,9,NA,NA,NA,NA,NA
OZGO,OZGO,1,2,9,NA,NA,NA,NA,NA
PaBe,Paul Bender,1,2,8,NA,NA,NA,NA,NA
PaRo,Paul Rosenberg,1,2,2,NA,NA,NA,NA,NA
PDBu,Pierre-Dominique Burgaud,1,2,5,NA,NA,NA,NA,NA
PDog,PDogg,1,2,10,NA,NA,NA,NA,NA
PeMo,Perrin Moss,1,2,8,NA,NA,NA,NA,NA
PeUg,Pero Ugrin,1,2,10,NA,NA,NA,NA,NA
PhLa,Philip Lawrence,1,2,2,NA,NA,NA,NA,NA
PiJo,Pierre Jouishomme,1,2,5,NA,NA,NA,NA,NA
Pink,P!nk,1,1,2,NA,NA,NA,NA,NA
PJTe,Phillip James Terry,1,2,2,NA,NA,NA,NA,NA
Plus,Pluss,1,2,2,NA,NA,NA,NA,NA
PMD,PMD,1,2,2,NA,NA,NA,NA,NA
PoBe,Poo Bear,1,2,2,NA,NA,NA,NA,NA
PYLe,Pierre-Yves Lebert,1,2,5,NA,NA,NA,NA,NA
RABO,RAT BOY,1,2,1,NA,NA,NA,NA,NA
RaCh,Ra Charm,1,2,2,NA,NA,NA,NA,NA
Ranc,Rance,1,2,2,NA,NA,NA,NA,NA
RaRo,Ray Romulus,1,2,2,NA,NA,NA,NA,NA
ReJa,Reuben James,1,2,1,NA,NA,NA,NA,NA
repu,reputation,2,NA,NA,1,1,2017,NA,15
ReRu,Rev Run,1,2,2,NA,NA,NA,NA,NA
ReSp,Regina Spektor,1,1,10,NA,NA,NA,NA,NA
Revi,Revival,2,NA,NA,2,1,2017,NA,19
Rick,Rick Rubin,1,2,2,NA,NA,NA,NA,NA
RiFa,Richard Fairbrass,1,2,1,NA,NA,NA,NA,NA
Riha,Rihanna,1,1,10,NA,NA,NA,NA,NA
RiRI,Ricci Riera,1,2,2,NA,NA,NA,NA,NA
RiWe,Ricky West,1,2,2,NA,NA,NA,NA,NA
RM,RM,1,2,10,NA,NA,NA,NA,NA
RMDJ,Ray Michael Djan Jr.,1,2,1,NA,NA,NA,NA,NA
RnBM,Rag'n'Bone Man,1,2,1,NA,NA,NA,NA,NA
RNUF,Ron “NEFF-U” Feemster,1,2,2,NA,NA,NA,NA,NA
RoCa,Roman Campolo,1,2,2,NA,NA,NA,NA,NA
RoFr,Robin Fredriksson,1,2,9,NA,NA,NA,NA,NA
RoGo,Ross Golan,1,2,2,NA,NA,NA,NA,NA
RoKB,Robert “Kool” Bell,1,2,2,NA,NA,NA,NA,NA
RoMa,Rob Manzoli,1,2,1,NA,NA,NA,NA,NA
RonJ,Ronny J,1,2,2,NA,NA,NA,NA,NA
RoSM,Robert Spike Mickens,1,2,2,NA,NA,NA,NA,NA
RoSp,Rollo Spreckley,1,2,1,NA,NA,NA,NA,NA
RoTr,Roger Troutman,1,2,2,NA,NA,NA,NA,NA
Royc,"Royce da 5'9""",1,2,2,NA,NA,NA,NA,NA
RyLe,Ryan Lewis,1,2,2,NA,NA,NA,NA,NA
RyNa,Ryan Nasci,1,2,2,NA,NA,NA,NA,NA
RyTe,Ryan Tedder,1,2,2,NA,NA,NA,NA,NA
SaDe,Sam Dew,1,2,2,NA,NA,NA,NA,NA
SaHa,Samantha Harper,1,1,1,NA,NA,NA,NA,NA
SaKl,Sam Klempner,1,2,1,NA,NA,NA,NA,NA
SamH,Sam Harris,1,2,2,NA,NA,NA,NA,NA
SamS,Sam Smith,1,2,1,NA,NA,NA,NA,NA
SBoi,Supreme Boi,1,2,10,NA,NA,NA,NA,NA
Scho,Schoolly D,1,2,2,NA,NA,NA,NA,NA
ScJo,Scram Jones,1,2,2,NA,NA,NA,NA,NA
Shel,Shellback,1,1,9,NA,NA,NA,NA,NA
SiAl,Simon Aldred,1,2,1,NA,NA,NA,NA,NA
SiMa,Simon Mavin,1,2,8,NA,NA,NA,NA,NA
SJKy,Song Jae Kyung,1,2,10,NA,NA,NA,NA,NA
SkGr,Skylar Grey,1,1,2,NA,NA,NA,NA,NA
SMSu,Shin Myeong Su,1,2,10,NA,NA,NA,NA,NA
SoEx,Songs of Experience,2,NA,NA,4,1,2017,NA,13
Sone,S1,1,2,2,NA,NA,NA,NA,NA
Sosa,Candace Sosa,1,1,2,NA,NA,NA,NA,NA
Soun,Sounwave,1,2,2,NA,NA,NA,NA,NA
SRab,Slow Rabbit,1,2,10,NA,NA,NA,NA,NA
StAn,Stig Anderson,1,2,9,NA,NA,NA,NA,NA
StEa,Steve Earle,1,2,2,NA,NA,NA,NA,NA
StGr,Stan Graham,1,2,2,NA,NA,NA,NA,NA
StLa,Steve Lacy,1,2,2,NA,NA,NA,NA,NA
StMa,Steve Mac,1,2,1,NA,NA,NA,NA,NA
SUGA,SUGA,1,2,10,NA,NA,NA,NA,NA
SwAl,Swish Allnet,1,2,2,NA,NA,NA,NA,NA
TaKe,Tay Keith,1,2,2,NA,NA,NA,NA,NA
TaSw,Taylor Swift,1,1,2,NA,NA,NA,NA,NA
TEHe,Tor Erik Hermansen,1,2,10,NA,NA,NA,NA,NA
TeMa,Terrace Martin,1,2,2,NA,NA,NA,NA,NA
TeWa,Teddy Walton,1,2,2,NA,NA,NA,NA,NA
TGrS,The Greatest Showman: Original Motion Picture Soundtrack - Sing-A-Long Edition,2,NA,NA,12,1,2018,NA,22
ThAl,The Alchemist,1,2,2,NA,NA,NA,NA,NA
ThBr,Thomas Brenneck,1,2,2,NA,NA,NA,NA,NA
TiGo,Tim Gomringer,1,2,10,NA,NA,NA,NA,NA
TiJa,Tim James,1,2,2,NA,NA,NA,NA,NA
Timb,Timbaland,1,2,2,NA,NA,NA,NA,NA
TIPu,Two Inch Punch,1,2,1,NA,NA,NA,NA,NA
TiSu,Tim Suby,1,2,2,NA,NA,NA,NA,NA
TJJr,Tobias Jesso Jr.,1,2,7,NA,NA,NA,NA,NA
TLJr,Trevor Lawrence Jr.,1,2,2,NA,NA,NA,NA,NA
ToCh,Tommy Chong,1,2,2,NA,NA,NA,NA,NA
ToDa,Top Dawg,1,2,2,NA,NA,NA,NA,NA
ToIA,The Thrill of It All,2,NA,NA,1,1,2017,NA,10
ToSt,Tom Sturges,1,2,5,NA,NA,NA,NA,NA
TPai,T-Pain,1,2,2,NA,NA,NA,NA,NA
TTHa,"Tameka ""Tiny"" Harris",1,1,2,NA,NA,NA,NA,NA
TyJo,Tyler Johnson,1,2,2,NA,NA,NA,NA,NA
TyKe,Tyrone Kelsie,1,1,2,NA,NA,NA,NA,NA
Wond,9th Wonder,1,2,2,NA,NA,NA,NA,NA
YEBB,YEBBA,1,1,2,NA,NA,NA,NA,NA
Yode,Yodelice,1,2,5,NA,NA,NA,NA,NA
YoGu,Yoon Guitar,1,2,10,NA,NA,NA,NA,NA
YoMC,Young MC,1,2,1,NA,NA,NA,NA,NA
YuEx,Yung Exclusive,1,2,2,NA,NA,NA,NA,NA
YuNa,Yukimi Nagano,1,1,9,NA,NA,NA,NA,NA
YuYa,Yutaka Yamada,1,2,10,NA,NA,NA,NA,NA
Zaca,Zacari,1,2,2,NA,NA,NA,NA,NA
